,Date,Game,Time,Result
73,16/12/2006,"מכבי נתניה - הפועל פ""ת",18:30,1-1
74,16/12/2006,מ.ס. אשדוד - מכבי חיפה,19:30,1-1
75,17/12/2006,"הפועל ת""א - בית""ר י-ם",20:50,1-1
76,20/12/2006,"מכבי חיפה - בני יהודה ת""א",19:00,0-2
77,21/12/2006,"מכבי הרצליה - הפועל ת""א",19:00,2-2
78,30/12/2006,"הכח מכבי עמידר ר""ג - הפועל ת""א",17:20,4-3
79,30/12/2006,"מכבי הרצליה - בני יהודה ת""א",18:00,0-0
80,30/12/2006,"הפועל פ""ת - מ.ס. אשדוד",18:04,3-2
81,30/12/2006,"מכבי חיפה - מכבי ע. פ""ת",19:10,0-1
82,30/12/2006,"מכבי ת""א - מכבי נתניה",19:30,0-0
83,31/12/2006,"בית""ר י-ם - הפועל כפ""ס",20:50,0-2
84,06/01/2007,"הפועל ת""א - מכבי הרצליה",15:10,0-2
85,06/01/2007,"מ.ס. אשדוד - מכבי ת""א",17:20,2-2
86,06/01/2007,"מכבי ע. פ""ת - הפועל פ""ת",18:30,0-1
87,06/01/2007,"מכבי נתניה - הפועל כפ""ס",18:30,0-1
88,06/01/2007,"בני יהודה ת""א - מכבי חיפה",19:30,1-2
89,07/01/2007,"הכח מכבי עמידר ר""ג - בית""ר י-ם",20:50,2-0
90,13/01/2007,"מכבי ת""א - מכבי ע. פ""ת",17:22,0-1
91,13/01/2007,"מכבי הרצליה - הכח מכבי עמידר ר""ג",18:00,2-1
92,13/01/2007,"הפועל כפ""ס - מ.ס. אשדוד",18:30,0-0
93,13/01/2007,"הפועל פ""ת - בני יהודה ת""א",18:30,0-0
94,13/01/2007,"בית""ר י-ם - מכבי נתניה",19:30,0-0
95,14/01/2007,"מכבי חיפה - הפועל ת""א",20:50,2-3
96,20/01/2007,"הכח מכבי עמידר ר""ג - מכבי חיפה",17:17,0-1
97,20/01/2007,מ.ס. אשדוד - מכבי נתניה,18:00,3-2
98,20/01/2007,"מכבי ע. פ""ת - הפועל כפ""ס",18:30,1-0
99,20/01/2007,"הפועל ת""א - הפועל פ""ת",19:20,0-2
100,20/01/2007,"מכבי הרצליה - בית""ר י-ם",19:35,1-2
101,21/01/2007,"בני יהודה ת""א - מכבי ת""א",20:50,1-1
102,27/01/2007,מכבי חיפה - מכבי הרצליה,17:15,4-0
103,27/01/2007,"הפועל פ""ת - הכח מכבי עמידר ר""ג",18:00,1-2
104,27/01/2007,"הפועל כפ""ס - בני יהודה ת""א",18:30,2-1
105,27/01/2007,"מכבי נתניה - מכבי ע. פ""ת",19:00,0-2
106,27/01/2007,"בית""ר י-ם - מ.ס. אשדוד",19:30,0-2
107,28/01/2007,"מכבי ת""א - הפועל ת""א",20:50,0-0
108,03/02/2007,"בני יהודה ת""א - מכבי נתניה",15:00,1-1
109,03/02/2007,"הכח מכבי עמידר ר""ג - מכבי ת""א",17:15,1-0
110,03/02/2007,"מכבי הרצליה - הפועל פ""ת",18:30,0-0
111,03/02/2007,"מכבי ע. פ""ת - מ.ס. אשדוד",18:30,1-2
112,03/02/2007,"הפועל ת""א - הפועל כפ""ס",19:30,1-1
113,04/02/2007,"מכבי חיפה - בית""ר י-ם",20:50,3-0
114,10/02/2007,"הפועל פ""ת - מכבי חיפה",17:20,2-0
115,10/02/2007,"מ.ס. אשדוד - בני יהודה ת""א",18:30,1-1
116,10/02/2007,"הפועל כפ""ס - הכח מכבי עמידר ר""ג",19:00,3-1
117,10/02/2007,"מכבי ת""א - מכבי הרצליה",19:20,1-2
118,10/02/2007,"מכבי נתניה - הפועל ת""א",19:30,1-1
119,11/02/2007,"בית""ר י-ם - מכבי ע. פ""ת",20:50,0-0
120,17/02/2007,"הפועל ת""א - מ.ס. אשדוד",15:00,0-1
121,17/02/2007,"הכח מכבי עמידר ר""ג - מכבי נתניה",17:15,1-0
122,17/02/2007,"מכבי הרצליה - הפועל כפ""ס",18:15,3-1
123,17/02/2007,"בני יהודה ת""א - מכבי ע. פ""ת",19:00,1-2
124,17/02/2007,"הפועל פ""ת - בית""ר י-ם",19:30,1-0
125,18/02/2007,"מכבי חיפה - מכבי ת""א",20:52,0-0
126,24/02/2007,מכבי נתניה - מכבי הרצליה,17:00,0-1
127,24/02/2007,"מ.ס. אשדוד - הכח מכבי עמידר ר""ג",19:00,0-3
128,24/02/2007,"מכבי ת""א - הפועל פ""ת",19:15,0-1
129,25/02/2007,"בית""ר י-ם - בני יהודה ת""א",20:50,0-0
130,26/02/2007,"הפועל כפ""ס - מכבי חיפה",19:15,1-1
131,26/02/2007,"מכבי ע. פ""ת - הפועל ת""א",20:30,1-0
132,03/03/2007,"מכבי ת""א - הפועל פ""ת",17:05,2-2
133,03/03/2007,"מכבי חיפה - הכח מכבי עמידר ר""ג",17:05,2-1
134,03/03/2007,"מכבי ע. פ""ת - מכבי הרצליה",19:00,2-4
135,03/03/2007,"הפועל כפ""ס - בני יהודה ת""א",19:00,1-1
136,03/03/2007,"מכבי נתניה - הפועל ת""א",19:20,2-0
137,04/03/2007,"מ.ס. אשדוד - בית""ר י-ם",20:50,1-1
138,10/03/2007,"הפועל ת""א - מ.ס. אשדוד",14:50,1-2
139,10/03/2007,"הפועל פ""ת - בני יהודה ת""א",17:05,1-1
140,10/03/2007,"מכבי הרצליה - הפועל כפ""ס",18:00,3-1
141,10/03/2007,"הכח מכבי עמידר ר""ג - מכבי ע. פ""ת",19:00,1-0
142,10/03/2007,"מכבי ת""א - מכבי נתניה",19:20,1-2
143,11/03/2007,"בית""ר י-ם - מכבי חיפה",20:50,1-4
144,17/03/2007,"מ.ס. אשדוד - מכבי ת""א",17:15,1-0
145,17/03/2007,"הפועל כפ""ס - הכח מכבי עמידר ר""ג",18:30,0-0
146,17/03/2007,"מכבי נתניה - הפועל פ""ת",19:00,1-2
147,17/03/2007,"בני יהודה ת""א - מכבי הרצליה",19:00,4-1
148,17/03/2007,"מכבי ע. פ""ת - בית""ר י-ם",19:30,1-0
149,18/03/2007,"מכבי חיפה - הפועל ת""א",20:50,0-4
150,31/03/2007,"הפועל ת""א - מכבי ע. פ""ת",17:15,0-0
151,31/03/2007,"הפועל פ""ת - מכבי הרצליה",18:30,3-2
152,31/03/2007,"הכח מכבי עמידר ר""ג - בני יהודה ת""א",18:30,2-2
153,31/03/2007,מכבי נתניה - מ.ס. אשדוד,19:20,1-2
154,31/03/2007,"בית""ר י-ם - הפועל כפ""ס",19:30,1-2
155,01/04/2007,"מכבי ת""א - מכבי חיפה",20:50,1-0
156,06/04/2007,"מכבי הרצליה - הכח מכבי עמידר ר""ג",16:00,0-5
157,07/04/2007,"הפועל כפ""ס - הפועל ת""א",17:05,0-0
158,07/04/2007,מכבי חיפה - מכבי נתניה,17:15,0-0
159,07/04/2007,"מ.ס. אשדוד - הפועל פ""ת",18:30,1-4
160,07/04/2007,"מכבי ע. פ""ת - מכבי ת""א",19:30,2-0
161,09/04/2007,"בני יהודה ת""א - בית""ר י-ם",20:50,3-1
162,14/04/2007,מ.ס. אשדוד - מכבי חיפה,17:10,1-0
163,14/04/2007,"מכבי ת""א - הפועל כפ""ס",17:15,0-0
164,14/04/2007,"הפועל פ""ת - הכח מכבי עמידר ר""ג",18:00,2-3
165,14/04/2007,"מכבי נתניה - מכבי ע. פ""ת",19:00,0-0
166,14/04/2007,"בית""ר י-ם - מכבי הרצליה",19:30,0-0
167,16/04/2007,"הפועל ת""א - בני יהודה ת""א",20:50,0-0
168,28/04/2007,"מכבי חיפה - הפועל פ""ת",17:00,1-6
169,28/04/2007,"מכבי ע. פ""ת - מ.ס. אשדוד",19:00,0-2
170,28/04/2007,"הפועל כפ""ס - מכבי נתניה",19:00,0-0
171,28/04/2007,"בני יהודה ת""א - מכבי ת""א",19:30,2-3
172,28/04/2007,"מכבי הרצליה - הפועל ת""א",19:30,1-4
173,29/04/2007,"הכח מכבי עמידר ר""ג - בית""ר י-ם",20:50,0-0
174,05/05/2007,"הפועל ת""א - הכח מכבי עמידר ר""ג",15:00,2-1
175,05/05/2007,"מכבי חיפה - מכבי ע. פ""ת",17:15,1-0
176,05/05/2007,"מ.ס. אשדוד - הפועל כפ""ס",18:30,0-2
177,05/05/2007,"מכבי ת""א - מכבי הרצליה",19:30,0-3
178,05/05/2007,"מכבי נתניה - בני יהודה ת""א",19:30,0-3
179,06/05/2007,"בית""ר י-ם - הפועל פ""ת",20:50,0-2
180,12/05/2007,"הפועל כפ""ס - מכבי חיפה",17:00,0-1
181,12/05/2007,"הפועל פ""ת - מכבי ע. פ""ת",18:30,1-1
182,12/05/2007,"בני יהודה ת""א - מ.ס. אשדוד",19:30,2-3
183,12/05/2007,מכבי הרצליה - מכבי נתניה,19:30,3-2
184,12/05/2007,"הכח מכבי עמידר ר""ג - מכבי ת""א",19:30,2-0
185,13/05/2007,"בית""ר י-ם - הפועל ת""א",20:50,1-2
186,19/05/2007,"הפועל ת""א - הפועל פ""ת",17:10,1-5
187,19/05/2007,"מכבי חיפה - בני יהודה ת""א",17:15,0-2
188,19/05/2007,"מכבי נתניה - הכח מכבי עמידר ר""ג",19:30,1-2
189,19/05/2007,מ.ס. אשדוד - מכבי הרצליה,19:30,2-0
190,19/05/2007,"מכבי ע. פ""ת - הפועל כפ""ס",19:30,0-0
191,20/05/2007,"מכבי ת""א - בית""ר י-ם",20:50,1-0
192,26/05/2007,"הכח מכבי עמידר ר""ג - מ.ס. אשדוד",16:30,4-4
193,26/05/2007,מכבי הרצליה - מכבי חיפה,17:10,2-0
194,26/05/2007,"בני יהודה ת""א - מכבי ע. פ""ת",17:30,1-0
195,26/05/2007,"הפועל פ""ת - הפועל כפ""ס",18:00,2-2
196,26/05/2007,"בית""ר י-ם - מכבי נתניה",19:30,1-0
197,27/05/2007,"הפועל ת""א - מכבי ת""א",20:50,0-3
